namePlayer,college_team,GP,GS,MINS,oPOSS,PTS,ORB,DRB,AST,STL,BLK,TOV,PF,TS.,eFG.,FGM,FGA,FG.,TPM,TPA,TP.,FTM,FTA,FT.,RIMM,RIMA,RIM.,MIDM,MIDA,MID.,PBACKM,PBACKA,PBACK.,BLK_rim,BLK_mid,BLK_three,pct_FGA_trans,pct_TPA_trans,pct_RIMA_trans,pct_FGM_trans,pct_TPM_trans,pct_RIMM_trans,pct_FGM_ast,pct_TPM_ast,pct_RIMM_ast,PTS_trans,ORB_trans,DRB_trans,AST_trans,STL_trans,BLK_trans,TOV_trans,TS._trans,eFG._trans,FGM_trans,FGA_trans,FG._trans,TPM_trans,TPA_trans,TP._trans,FTM_trans,FTA_trans,FT._trans,RIMM_trans,RIMA_trans,RIM._trans,MIDM_trans,MIDA_trans,MID._trans,PTS_half,ORB_half,DRB_half,AST_half,STL_half,BLK_half,TOV_half,TS._half,eFG._half,FGM_half,FGA_half,FG._half,TPM_half,TPA_half,TP._half,FTM_half,FTA_half,FT._half,RIMM_half,RIMA_half,RIM._half,MIDM_half,MIDA_half,MID._half,PTS_ast,FGM_ast,TPM_ast,RIMM_ast,MIDM_ast,PTS_unast,eFG._unast,FGM_unast,FGA_unast,FG._unast,TPM_unast,TPA_unast,TP._unast,RIMM_unast,RIMA_unast,RIM._unast,MIDM_unast,MIDA_unast,MID._unast,college_year
DELAZARUS KEYS,A&M-Corpus Christi,34,34,821.172,1606,265,71,130,34,23,7,46,62,0.502,0.488,120,246,0.488,0,3,0,25,38,0.658,77,134,0.575,43,109,0.394,19,38,0.5,4,2,0,0.264,0.008,0.187,0.308,0,0.258,0.708,0,0.662,74,22,28,6,0,0,1,0.569,0.569,37,65,0.569,0,2,0,0,0,0,31,46,0.674,6,17,0.353,191,49,102,28,23,7,45,0.48,0.459,83,181,0.459,0,1,0,25,38,0.658,46,88,0.523,37,92,0.402,170,85,0,51,34,95,0.217,35,161,0.217,0,3,0,26,83,0.313,9,75,0.12,2021-22
DONOVAN RAY,A&M-Corpus Christi,4,0,25.65,58,15,2,7,4,3,0,3,1,0.503,0.462,6,13,0.462,0,2,0,3,4,0.75,4,7,0.571,2,4,0.5,1,1,1,0,0,0,0.538,0,0.385,0.667,0,0.5,0.333,0,0.25,9,0,4,3,0,0,0,0.566,0.571,4,7,0.571,0,0,0,1,2,0.5,3,5,0.6,1,2,0.5,6,2,3,1,3,0,3,0.432,0.333,2,6,0.333,0,2,0,2,2,1,1,2,0.5,1,2,0.5,4,2,0,1,1,11,0.364,4,11,0.364,0,2,0,3,6,0.5,1,3,0.333,2021-22
ETHAN WHITE,A&M-Corpus Christi,18,0,74.716,167,31,4,8,3,3,0,3,4,0.62,0.62,13,25,0.52,5,10,0.5,0,0,0,5,8,0.625,3,7,0.429,2,2,1,0,0,0,0.52,0.24,0.16,0.615,0.231,0.231,0.692,1,0.6,19,0,0,2,1,0,0,0.731,0.731,8,13,0.615,3,6,0.5,0,0,0,3,4,0.75,2,3,0.667,12,4,8,1,2,0,3,0.5,0.5,5,12,0.417,2,4,0.5,0,0,0,2,4,0.5,1,4,0.25,23,9,5,3,1,8,0.25,4,16,0.25,0,5,0,2,5,0.4,2,6,0.333,2021-22
ISAAC MUSHILA,A&M-Corpus Christi,35,30,889.065,1739,463,125,205,43,41,3,67,79,0.617,0.545,148,280,0.529,9,29,0.31,158,201,0.786,130,222,0.586,9,29,0.31,40,62,0.645,2,0,1,0.264,0.014,0.236,0.284,0,0.27,0.574,1,0.546,97,40,45,17,4,0,1,0.591,0.568,42,74,0.568,0,4,0,13,17,0.765,40,66,0.606,2,4,0.5,366,85,160,26,37,3,66,0.624,0.536,106,206,0.515,9,25,0.36,145,184,0.788,90,156,0.577,7,25,0.28,179,85,9,71,5,284,0.323,63,195,0.323,0,20,0,59,151,0.391,4,24,0.167,2021-22
JALEN JACKSON,A&M-Corpus Christi,35,29,847.118,1664,230,20,61,111,50,6,69,103,0.49,0.425,77,194,0.397,11,32,0.344,65,86,0.756,51,108,0.472,15,54,0.278,3,4,0.75,0,3,3,0.448,0.041,0.351,0.532,0.039,0.442,0.156,0.818,0.02,87,4,15,46,0,1,2,0.495,0.489,41,87,0.471,3,8,0.375,2,2,1,34,68,0.5,4,11,0.364,143,16,46,65,50,5,67,0.487,0.374,36,107,0.336,8,24,0.333,63,84,0.75,17,40,0.425,11,43,0.256,33,12,9,1,2,197,0.363,65,182,0.357,2,23,0.087,50,107,0.467,13,52,0.25,2021-22
JORDAN ROBERTS,A&M-Corpus Christi,17,0,121.932,265,61,1,11,7,5,2,7,16,0.519,0.5,22,54,0.407,10,33,0.303,7,10,0.7,7,8,0.875,5,13,0.385,0,0,0,0,1,0,0.407,0.241,0.111,0.591,0.182,0.273,0.636,0.8,0.571,31,0,5,2,0,0,0,0.69,0.682,13,22,0.591,4,13,0.308,1,1,1,6,6,1,3,3,1,30,1,6,5,5,2,7,0.414,0.375,9,32,0.281,6,20,0.3,6,9,0.667,1,2,0.5,2,10,0.2,36,14,8,4,2,25,0.225,8,40,0.2,2,25,0.08,3,4,0.75,3,11,0.273,2021-22
MYLES SMITH,A&M-Corpus Christi,30,13,608.631,1226,216,13,51,54,22,1,31,70,0.499,0.436,63,187,0.337,37,118,0.314,53,62,0.855,17,40,0.425,9,29,0.31,1,3,0.333,1,0,0,0.406,0.251,0.107,0.508,0.317,0.127,0.73,1,0.412,84,4,11,9,1,1,1,0.553,0.553,32,76,0.421,20,47,0.426,0,0,0,8,20,0.4,4,9,0.444,132,9,40,45,21,0,30,0.47,0.356,31,111,0.279,17,71,0.239,53,62,0.855,9,20,0.45,5,20,0.25,129,46,37,7,2,87,0.121,17,141,0.121,0,81,0,10,33,0.303,7,27,0.259,2021-22
SAN ANTONIO BRINSON,A&M-Corpus Christi,26,5,382.303,757,135,22,49,23,9,6,25,41,0.495,0.48,54,122,0.443,9,33,0.273,18,30,0.6,39,65,0.6,6,24,0.25,7,11,0.636,5,0,1,0.254,0.082,0.164,0.352,0.056,0.278,0.556,1,0.487,44,7,14,7,1,0,1,0.659,0.661,19,31,0.613,3,10,0.3,3,5,0.6,15,20,0.75,1,1,1,91,15,35,16,8,6,24,0.442,0.418,35,91,0.385,6,23,0.261,15,25,0.6,24,45,0.533,5,23,0.217,69,30,9,19,2,66,0.261,24,92,0.261,0,24,0,20,46,0.435,4,22,0.182,2021-22
SIMEON FRYER,A&M-Corpus Christi,35,35,971.935,1895,296,28,93,40,32,20,39,90,0.563,0.554,108,242,0.446,52,140,0.371,28,44,0.636,41,65,0.631,15,37,0.405,5,12,0.417,7,5,7,0.314,0.165,0.128,0.315,0.111,0.185,0.769,0.904,0.732,80,9,21,14,1,3,2,0.526,0.526,34,76,0.447,12,40,0.3,0,0,0,20,31,0.645,2,5,0.4,216,19,72,26,31,17,37,0.578,0.566,74,166,0.446,40,100,0.4,28,44,0.636,21,34,0.618,13,32,0.406,213,83,47,30,6,83,0.173,25,159,0.157,5,93,0.054,11,35,0.314,9,31,0.29,2021-22
STEPHEN FARAMADE,A&M-Corpus Christi,33,0,326.648,652,124,33,49,10,7,11,25,63,0.574,0.628,49,78,0.628,0,1,0,26,63,0.413,46,68,0.676,3,9,0.333,13,19,0.684,8,2,0,0.397,0.013,0.346,0.469,0,0.429,0.592,0,0.565,46,10,11,5,0,2,0,0.72,0.742,23,31,0.742,0,1,0,0,2,0,21,27,0.778,2,3,0.667,78,23,38,5,7,9,25,0.513,0.553,26,47,0.553,0,0,0,26,61,0.426,25,41,0.61,1,6,0.167,58,29,0,26,3,66,0.408,20,49,0.408,0,1,0,20,42,0.476,0,6,0,2021-22
TERRION MURDIX,A&M-Corpus Christi,35,15,775.98,1552,344,46,104,135,65,1,90,103,0.542,0.466,111,250,0.444,11,29,0.379,111,142,0.782,72,154,0.468,28,67,0.418,6,10,0.6,0,1,0,0.34,0.024,0.272,0.432,0.018,0.36,0.216,0.545,0.208,102,15,25,61,1,0,2,0.587,0.576,48,85,0.565,2,6,0.333,4,4,1,40,68,0.588,6,11,0.545,242,31,79,74,64,1,88,0.525,0.409,63,165,0.382,9,23,0.391,107,138,0.775,32,86,0.372,22,56,0.393,54,24,6,15,3,290,0.396,87,226,0.385,5,23,0.217,57,139,0.41,25,64,0.391,2021-22
TREVIAN TENNYSON,A&M-Corpus Christi,35,13,795.15,1587,420,15,42,49,27,3,46,64,0.527,0.497,145,366,0.396,74,201,0.368,56,68,0.824,31,65,0.477,40,100,0.4,2,2,1,2,1,0,0.331,0.158,0.09,0.359,0.138,0.124,0.669,0.892,0.29,128,5,8,16,1,1,2,0.519,0.512,52,121,0.43,20,58,0.345,4,5,0.8,18,33,0.545,14,30,0.467,292,10,34,33,26,2,44,0.531,0.49,93,245,0.38,54,143,0.378,52,63,0.825,13,32,0.406,26,70,0.371,260,97,66,9,22,160,0.193,48,269,0.178,8,135,0.059,22,56,0.393,18,78,0.231,2021-22
TYRESE NICKELSON,A&M-Corpus Christi,32,0,334.415,691,82,6,33,15,11,2,21,17,0.475,0.411,27,73,0.37,6,35,0.171,22,28,0.786,14,21,0.667,7,17,0.412,1,1,1,0,1,1,0.479,0.219,0.205,0.593,0.148,0.37,0.444,1,0.357,36,2,6,5,0,0,0,0.507,0.514,16,35,0.457,4,16,0.25,0,1,0,10,15,0.667,2,4,0.5,46,4,27,10,11,2,21,0.453,0.316,11,38,0.289,2,19,0.105,22,27,0.815,4,6,0.667,5,13,0.385,30,12,6,5,1,52,0.246,15,61,0.246,0,29,0,9,16,0.562,6,16,0.375,2021-22
AIRION SIMMONS,Abilene Christian,34,34,715.099,1438,405,55,132,66,51,18,67,106,0.56,0.543,150,311,0.482,38,111,0.342,67,107,0.626,96,148,0.649,16,52,0.308,20,29,0.69,11,6,0,0.257,0.129,0.116,0.32,0.113,0.193,0.533,0.895,0.427,115,11,29,13,1,7,2,0.706,0.706,48,80,0.6,17,40,0.425,2,3,0.667,29,36,0.806,2,4,0.5,290,44,103,53,50,11,65,0.517,0.487,102,231,0.442,21,71,0.296,65,104,0.625,67,112,0.598,14,48,0.292,194,80,34,41,5,211,0.312,70,231,0.303,4,77,0.052,55,107,0.514,11,47,0.234,2021-22
