namePlayer,Average_AV,AVCategory,college_team,groupPosition,college_year,namePlayerCol,namePlayerCol_2,year_team,GP,GS,MINS,oPOSS,PTS,ORB,DRB,AST,STL,BLK,TOV,PF,TS.,eFG.,FGM,FGA,FG.,TPM,TPA,TP.,FTM,FTA,FT.,RIMM,RIMA,RIM.,MIDM,MIDA,MID.,PBACKM,PBACKA,PBACK.,BLK_rim,BLK_mid,BLK_three,pct_FGA_trans,pct_TPA_trans,pct_RIMA_trans,pct_FGM_trans,pct_TPM_trans,pct_RIMM_trans,pct_FGM_ast,pct_TPM_ast,pct_RIMM_ast,PTS_trans,ORB_trans,DRB_trans,AST_trans,STL_trans,BLK_trans,TOV_trans,TS._trans,eFG._trans,FGM_trans,FGA_trans,FG._trans,TPM_trans,TPA_trans,TP._trans,FTM_trans,FTA_trans,FT._trans,RIMM_trans,RIMA_trans,RIM._trans,MIDM_trans,MIDA_trans,MID._trans,PTS_half,ORB_half,DRB_half,AST_half,STL_half,BLK_half,TOV_half,TS._half,eFG._half,FGM_half,FGA_half,FG._half,TPM_half,TPA_half,TP._half,FTM_half,FTA_half,FT._half,RIMM_half,RIMA_half,RIM._half,MIDM_half,MIDA_half,MID._half,PTS_ast,FGM_ast,TPM_ast,RIMM_ast,MIDM_ast,PTS_unast,eFG._unast,FGM_unast,FGA_unast,FG._unast,TPM_unast,TPA_unast,TP._unast,RIMM_unast,RIMA_unast,RIM._unast,MIDM_unast,MIDA_unast,MID._unast,Team,year,firstNameNba,lastNameNba,firstNameCol
Derrick Williams,5.973451332514725,Medium,Arizona,F,2011,DERRICK.WILLIAMS,DERRICK.WILLIAMS,2010-11Arizona,38,37,1088.318,1967,741,105,209,43,37,26,100,107,0.69,0.65,226,380,0.595,42,74,0.568,247,331,0.746,132,182,0.725,52,124,0.419,21,36,0.583,9,13,2,0.061,0.011,0.039,0.066,0.013,0.049,0.606,0.929,0.598,33,1,29,2,0,4,0,0.717,0.717,15,23,0.652,3,4,0.75,0,0,0,11,15,0.733,1,4,0.25,682,100,173,39,35,20,93,0.69,0.65,203,341,0.595,37,68,0.544,239,322,0.742,116,159,0.73,50,114,0.439,313,137,39,79,19,428,0.372,89,243,0.366,3,35,0.086,53,103,0.515,33,105,0.314,NA,NA,NA,NA,NA
Reggie Jackson,9.714574335241046,Medium,Boston College,G,2011,REGGIE.JACKSON,REGGIE.JACKSON,2010-11Boston College,34,31,1133.885,1944,618,35,111,152,36,18,81,58,0.618,0.585,219,435,0.503,71,169,0.42,109,137,0.796,98,148,0.662,50,118,0.424,5,11,0.455,13,2,3,0.136,0.046,0.067,0.183,0.041,0.119,0.32,0.634,0.224,92,0,21,37,0,7,0,0.749,0.754,40,59,0.678,9,20,0.45,3,5,0.6,26,29,0.897,5,10,0.5,526,35,90,115,36,11,81,0.599,0.559,179,376,0.476,62,149,0.416,106,132,0.803,72,119,0.605,45,108,0.417,185,70,45,22,3,433,0.444,149,365,0.408,26,124,0.21,76,126,0.603,47,115,0.409,NA,NA,NA,NA,NA
Shelvin Mack,4.819509252765629,Low,Butler,G,2011,SHELVIN.MACK,SHELVIN.MACK,2010-11Butler,38,35,1210.934,2097,609,27,143,131,30,3,93,66,0.537,0.496,201,493,0.408,87,246,0.354,120,156,0.769,64,100,0.64,50,147,0.34,2,3,0.667,2,1,0,0.122,0.059,0.039,0.154,0.07,0.06,0.204,0.368,0.125,76,2,19,18,0,0,1,0.633,0.633,31,60,0.517,14,29,0.483,0,0,0,12,19,0.632,5,12,0.417,533,25,124,113,30,3,92,0.526,0.477,170,433,0.393,73,217,0.336,120,156,0.769,52,81,0.642,45,135,0.333,114,41,32,8,1,495,0.415,160,452,0.354,55,214,0.257,56,92,0.609,49,146,0.336,NA,NA,NA,NA,NA
Jimmer Fredette,1.7061043787770789,Low,BYU,G,2011,JIMMER.FREDETTE,JIMMER.FREDETTE,2010-11BYU,37,37,1311.881,2446,1068,24,103,160,49,1,131,49,0.594,0.533,346,765,0.452,124,313,0.396,252,282,0.894,110,153,0.719,112,299,0.375,1,4,0.25,0,0,1,0.179,0.078,0.047,0.243,0.084,0.09,0.289,0.46,0.3,211,0,13,40,0,0,0,0.734,0.719,84,137,0.613,29,60,0.483,14,14,1,31,36,0.861,24,41,0.585,857,24,90,120,49,1,131,0.567,0.493,262,628,0.417,95,253,0.375,238,268,0.888,79,117,0.675,88,258,0.341,257,100,57,33,10,811,0.42,246,665,0.37,67,256,0.262,77,120,0.642,102,289,0.353,NA,NA,NA,NA,NA
Norris Cole,5.405940575635565,Medium,Cleveland St.,G,2011,NORRIS.COLE,NORRIS.COLE,2010-11Cleveland St.,36,36,1298.667,2281,780,27,183,191,78,3,97,88,0.558,0.483,251,572,0.439,51,149,0.342,227,266,0.853,122,190,0.642,78,233,0.335,1,9,0.111,1,2,0,0.156,0.04,0.07,0.211,0.04,0.127,0.219,0.431,0.213,120,1,30,49,0,1,0,0.657,0.652,53,89,0.596,10,23,0.435,4,5,0.8,32,40,0.8,11,26,0.423,660,26,153,142,78,2,97,0.544,0.452,198,483,0.41,41,126,0.325,223,261,0.854,90,150,0.6,67,207,0.324,132,55,22,26,7,648,0.407,196,517,0.379,29,127,0.228,96,164,0.585,71,226,0.314,NA,NA,NA,NA,NA
Andrew Goudelock,0.39867352517108046,Low,Col. of Charleston,G,2011,ANDREW.GOUDELOCK,ANDREW.GOUDELOCK,2010-11Col. of Charleston,37,37,1280.084,2317,877,25,118,157,33,7,119,66,0.575,0.549,318,699,0.455,131,322,0.407,110,134,0.821,40,66,0.606,147,311,0.473,1,3,0.333,3,3,1,0.126,0.072,0.01,0.116,0.06,0.009,0.296,0.519,0.075,94,0,19,19,1,1,0,0.531,0.528,37,88,0.42,19,50,0.38,1,1,1,3,7,0.429,15,31,0.484,783,25,99,138,32,6,119,0.581,0.552,281,611,0.46,112,272,0.412,109,133,0.82,37,59,0.627,132,280,0.471,256,94,68,3,23,621,0.422,224,605,0.37,63,254,0.248,37,63,0.587,124,288,0.431,NA,NA,NA,NA,NA
Alec Burks,5.170338816956562,Low,Colorado,G,2011,ALEC.BURKS,ALEC.BURKS,2010-11Colorado,38,37,1194.198,2253,779,91,156,112,41,12,99,91,0.574,0.495,251,535,0.469,28,96,0.292,249,302,0.825,121,186,0.651,102,253,0.403,10,25,0.4,10,1,0,0.135,0.019,0.09,0.187,0.012,0.139,0.335,0.571,0.405,102,1,25,28,0,2,0,0.686,0.674,47,72,0.653,3,10,0.3,5,5,1,35,48,0.729,9,14,0.643,677,90,131,84,41,10,99,0.56,0.468,204,463,0.441,25,86,0.291,244,297,0.822,86,138,0.623,93,239,0.389,184,84,16,49,19,595,0.384,167,451,0.37,12,80,0.15,72,137,0.526,83,234,0.355,NA,NA,NA,NA,NA
Kyle Singler,5.075565884524611,Low,Duke,F,2011,KYLE.SINGLER,KYLE.SINGLER,2010-11Duke,37,37,1276.614,2329,625,88,165,60,34,12,70,98,0.536,0.491,219,509,0.43,62,193,0.321,125,155,0.806,76,105,0.724,81,211,0.384,13,21,0.619,7,5,0,0.084,0.043,0.029,0.11,0.041,0.055,0.475,0.855,0.408,57,3,32,6,0,2,0,0.656,0.663,24,43,0.558,9,22,0.409,0,1,0,12,15,0.8,3,6,0.5,568,85,133,54,34,10,70,0.527,0.475,195,466,0.418,53,171,0.31,125,154,0.812,64,90,0.711,78,205,0.38,261,104,53,31,20,364,0.295,115,405,0.284,9,140,0.064,45,74,0.608,61,191,0.319,NA,NA,NA,NA,NA
Kyrie Irving,9.955545160197115,Medium,Duke,G,2011,KYRIE.IRVING,KYRIE.IRVING,2010-11Duke,11,8,294.515,592,192,6,31,47,16,6,27,23,0.697,0.615,55,104,0.529,18,39,0.462,64,71,0.901,26,39,0.667,11,26,0.423,1,2,0.5,3,2,0,0.212,0.038,0.125,0.273,0.055,0.182,0.182,0.5,0.038,37,1,5,14,0,2,0,0.774,0.75,15,22,0.682,3,4,0.75,4,4,1,10,13,0.769,2,5,0.4,155,5,26,33,16,4,27,0.681,0.579,40,82,0.488,15,35,0.429,60,67,0.896,16,26,0.615,9,21,0.429,29,10,9,1,0,163,0.527,45,94,0.479,9,30,0.3,25,38,0.658,11,26,0.423,NA,NA,NA,NA,NA
Chandler Parsons,8.926269173625473,Medium,Florida,F,2011,CHANDLER.PARSONS,CHANDLER.PARSONS,2010-11Florida,36,34,1184.047,2047,407,74,205,136,34,15,81,68,0.551,0.546,155,323,0.48,43,117,0.368,54,97,0.557,86,117,0.735,26,89,0.292,21,30,0.7,13,2,0,0.124,0.053,0.059,0.148,0.039,0.097,0.561,0.884,0.442,52,2,25,19,0,4,0,0.65,0.65,23,40,0.575,6,17,0.353,0,0,0,15,19,0.789,2,4,0.5,342,67,177,113,31,11,79,0.533,0.525,127,276,0.46,36,98,0.367,52,94,0.553,67,94,0.713,24,84,0.286,212,87,38,38,11,195,0.299,68,236,0.288,5,79,0.063,48,79,0.608,15,78,0.192,NA,NA,NA,NA,NA
